Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power
223,basic,vecoddmult,1024,64,65536,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,64,79,0.5,3,3444.6935,510.0667,0,0,32,1190.6508,101.04933
272,basic,vecoddmult,1280,64,81920,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,64,99,0.5,3,3574.2972,857.4167,0,0,40,1907.6216,107.00594
264,basic,vecoddmult,2560,32,81920,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,32,197,0.25,3,3574.2972,857.4167,0,0,80,1907.6216,95.92677
256,basic,vecoddmult,5120,16,81920,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,16,394,0.25,3,3574.2972,857.4167,0,0,160,1907.6216,91.8291
248,basic,vecoddmult,128,1024,131072,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,1024,10,1,5,3703.6798,1055.36,0,0,4,3691.3083,115.12321
240,basic,vecoddmult,256,512,131072,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,512,20,1,5,3703.6798,1055.36,0,0,8,3691.3083,118.9508
232,basic,vecoddmult,512,256,131072,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,256,40,1,5,3703.6798,1055.36,0,0,16,3691.3083,120.24816
224,basic,vecoddmult,1024,128,131072,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,128,79,1,5,3703.6798,1055.36,0,0,32,3691.3083,121.46859
273,basic,vecoddmult,1280,128,163840,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,128,99,1,6,3961.7833,1564.75,0,0,40,6023.6567,125.07076
265,basic,vecoddmult,2560,64,163840,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,64,197,0.5,6,3961.7833,1564.75,0,0,80,6023.6567,114.09281
257,basic,vecoddmult,5120,32,163840,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,32,394,0.25,6,3961.7833,1564.75,0,0,160,6023.6567,99.13318
