Sr No.,Benchmark,Kernel Name,,C/M,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sm,comp_lat_sm,avg_comp_lat,glob_inst_kernel,glob_inst_sm,glob_lat_sm,avg_glob_lat,shar_inst_kernel,shar_inst_sm,shar_lat_sm,avg_shar_lat,misc_inst_kernel,misc_inst_sm,misc_lat_sm,avg_misc_lat,total_inst,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power,inst_issue_cycle
46,basic,vecoddmult,,,1280,32,40960.0000,17,0,54,40,584,14.6,31,16,5034,314.625,0,0,0,0,0,132,1320,10,188,2,12,4,118,32,99,0.25,2.0000,3314.8683,314.6250,0.0000,0.0000,40.0000,516.8394,85.75008,
47,basic,vecoddmult,,,2560,16,40960.0000,17,0,54,40,584,14.6,31,16,5034,314.625,0,0,0,0,0,132,1320,10,188,2,12,4,118,16,197,0.25,2.0000,3314.8683,314.6250,0.0000,0.0000,80.0000,516.8394,86.1272,
48,basic,vecoddmult,,,128,512,65536.0000,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,512,10,1.0000,3.0000,3444.6935,510.0667,0.0000,0.0000,4.0000,1190.6508,104.15702,
49,basic,vecoddmult,,,256,256,65536.0000,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,256,20,1.0000,3.0000,3444.6935,510.0667,0.0000,0.0000,8.0000,1190.6508,104.79997,
50,basic,vecoddmult,,,512,128,65536.0000,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,128,40,1.0000,3.0000,3444.6935,510.0667,0.0000,0.0000,16.0000,1190.6508,107.17054,
51,basic,vecoddmult,,,1024,64,65536.0000,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,64,79,0.5,3.0000,3444.6935,510.0667,0.0000,0.0000,32.0000,1190.6508,101.04933,
52,basic,vecoddmult,,,1280,64,81920.0000,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,64,99,0.5,3.0000,3574.2972,857.4167,0.0000,0.0000,40.0000,1907.6216,107.00594,
53,basic,vecoddmult,,,2560,32,81920.0000,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,32,197,0.25,3.0000,3574.2972,857.4167,0.0000,0.0000,80.0000,1907.6216,95.92677,
54,basic,vecoddmult,,,5120,16,81920.0000,17,0,54,80,1168,14.6,31,32,10289,321.53125,0,0,0,0,0,264,2640,10,376,4,24,8,470,16,394,0.25,3.0000,3574.2972,857.4167,0.0000,0.0000,160.0000,1907.6216,91.8291,
55,basic,vecoddmult,,,128,1024,131072.0000,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,1024,10,1.0000,5.0000,3703.6798,1055.3600,0.0000,0.0000,4.0000,3691.3083,115.12321,
